submitted_on,level_measurable,measure_reason,well_depth,depth_unit,depth_over100,endcap_available,measure_method,method_other,measure_datum,casing_length,casing_unit,static_level,level_unit,logger_available,logger_photo,logger_not_available_reason,logger_type,logger_depth,logger_unit,logger_download,download_reason,download_other,barlogger_available,barlogger_photo,barlogger_download,barlogger_reason,barlogger_other,barlogger_match,barlogger_name,traditional_authority,district,dipper_available,dipper_condition,dipper_problem,problem_other,dipper_photo,ppe_available,ppe_photo,community_sensitized,well_purpose,vandalism_reason,vandal_other,vandal_control,control_other,civil_photo,other_issues,site_importance,importance_other,site_accessible,access_problem,potable_access,source_type,improvement_plan
2/8/2022 0:00,NA,NA,61.75,mbgl,No,No,Manual dipper,NA,Groundlevel,NA,NA,13.86,m,Yes,NA,NA,Solinst,29.8,m,No,No connection to computer,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Measuring the water table,People/children are curious to see what is inside,NA,Report to the chief,NA,https://api.mwater.co/v3/images/c742109e303944c18f9979dd77ba1a03,NA,Other,General ground water level,Yes,NA,Yes,Borehole or tubewell,"Replace barologger , Replace end cap, Identify and training gauge reader, Replacement of the level logger"
2/8/2022 0:00,NA,NA,52.75,mbgl,Yes,No,Manual dipper,NA,Groundlevel,NA,NA,3.88,m,Yes,NA,NA,Solinst,27.6,m,No,No connection to computer,NA,No,NA,NA,NA,NA,Yes,NA,TA Malenga Chanzi,Nkhotakota,Yes,Good condition,NA,NA,https://api.mwater.co/v3/images/2a362be8e41f4798b1c183822197fb6b; https://api.mwater.co/v3/images/42f1ba954c1a4915aa35d1e45905b274,No,NA,Yes,Measuring the water table,Other,Can't be vandalised,Other,Can't be vanfalised,https://api.mwater.co/v3/images/303f2189a70e43d48c7521a5dc7dc40a,NA,Other,General groundwater level,Yes,NA,Yes,Borehole or tubewell,"Replace barologger , Replace end cap, Identify and training gauge reader, Replacement of the level logger"
2/8/2022 0:00,NA,NA,28.4,mbgl,No,No,Manual dipper,NA,Groundlevel,NA,NA,4.18,m,Yes,https://api.mwater.co/v3/images/a2e1befccfcc407087795f6c8b52fbdc; https://api.mwater.co/v3/images/cc0e7cb1b70d4e0787fe8252c48bfbfb,NA,Solinst,13.8,m,No,No connection to computer,NA,Yes,NA,No,No connection to computer,NA,NA,NA,NA,NA,Yes,Good condition,NA,NA,https://api.mwater.co/v3/images/b4a696b9254349e8966c91bfa14e58a1; https://api.mwater.co/v3/images/2482ab5cfa1c4280b573430166d756ce,No,NA,Yes,Measuring the water table,Other,No possibility of vandalism,Other,No possibility of vandalism,https://api.mwater.co/v3/images/16b67a7851ee47adbc5aeb6a69c54a42,Their are cracks on civil works,Other,General water level monitoring,Yes,NA,Yes,Piped into public tap / stand pipe / basin,"Replace barologger , Replacement of the level logger, Replace end cap, Identify and training gauge reader, Rehabilitation of the civil  works"
2/8/2022 0:00,NA,NA,53.94,mbgl,No,No,Manual dipper,NA,Groundlevel,NA,NA,6.9,m,Yes,https://api.mwater.co/v3/images/7da44b6e85f74286af52efe38b7cd727,NA,Seba,9.55,m,No,Other,Different software requirements,Yes,NA,No,Other,Different software requirements,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Measuring the water table,Other,No risk people we'll sensitised,Sensitise the community on the importance of this monitoring well,NA,https://api.mwater.co/v3/images/4c0664386f324bc79481b7cebab490cc,The Well is intact but loggers require their specific SEBA software for downloading,Other,General monitoring of water level,Yes,NA,Yes,Borehole or tubewell,"Replacement of the level logger, Replace barologger , Replace end cap, Identify and training gauge reader"
2/8/2022 0:00,NA,NA,6.77,mbgl,No,No,Manual dipper,NA,Groundlevel,NA,NA,0,m,No,NA,Vandalised,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,People want to access water when their primary source is broken down,NA,"Sensitise the community on the importance of this monitoring well , Report to the chief , Other",Sensitise village headmen of the purpose of the well,https://api.mwater.co/v3/images/00ee8bedf1a64a59ac7b25446da82ceb,Borehole has been vandalised due to lack of sensitisation on the purpose as well as the need to have potable water at the school and community.,Other,General groundwater level monitoring,Yes,NA,Yes,Piped into yard/plot,"Replace the well , Replacement of the level logger, Replace barologger , Replace end cap, Discard monitoring well"
2/8/2022 0:00,NA,NA,52.5,mbgl,Yes,No,Manual dipper,NA,Groundlevel,NA,NA,8.39,m,Yes,https://api.mwater.co/v3/images/a4737260eade4943b6be5a30d4547a60,NA,Seba,18.47,m,No,Other,Different software requirements,Yes,NA,No,Other,Different software requirements,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"For drinking water , Other",Other,No risk of vandalism,Report to the chief,NA,https://api.mwater.co/v3/images/dca82fcb17384066b4cc8d40ab19d220,NA,Other,General monitoring of groundwater level,Yes,NA,Yes,Borehole or tubewell,"Replacement of the level logger, Replace barologger , Replace end cap, Identify and training gauge reader"
2/8/2022 0:00,No,The borehole was filled with sand/rock,NA,NA,NA,No,Other,"It's blocked, water level not measured. Only less than a meter could be observed",Groundlevel,NA,NA,NA,NA,No,NA,Vandalized,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,"People/children are curious to see what is inside , Other",Didn't know the purpose of the monitoring well,"Sensitise the community on the importance of this monitoring well , Organize a dedicated committee , Handover safeguarding responsibilities to the Water Point Committee , handover safeguarding responsibilities to other existing committees (non-WASH), Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/8e7eaa295d8545a6bdd523b49d00ac7f,"The well is filled with stones, 
Logger not available
No one is looking after the monitoring well","Spatial coverage, Geology related",NA,Yes,NA,Yes,Borehole or tubewell,Discard monitoring well
2/8/2022 0:00,Yes,NA,39.6,mbgl,No,Yes,Manual dipper,NA,Top of casing,20,cm,6.46,m,No,NA,Never installed,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Other,Not damaged,"Sensitise the community on the importance of this monitoring well , Organize a dedicated committee , Handover safeguarding responsibilities to the Water Point Committee , handover safeguarding responsibilities to other existing committees (non-WASH), Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/69367437d9254cc7a5d754eb533db6f4,NA,"Geology related , Vertical coverage (deeper aquifer)",NA,Yes,NA,No,NA,Other
2/9/2022 0:00,Yes,NA,100,mbgl,Yes,No,Manual dipper,NA,Groundlevel,NA,NA,6.5,m,Yes,NA,NA,Solinst,29.4,m,Yes,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Measuring the water table,People/children are curious to see what is inside,NA,Report to the chief,NA,https://api.mwater.co/v3/images/9731f86eef9f4bdbbc9f552f2b74f093,No end cap to cover the casing.,Other,General water level monitoring,Yes,NA,Yes,Borehole or tubewell,"Replace barologger , Replace end cap, Identify and training gauge reader"
2/9/2022 0:00,Yes,NA,40.35,mbgl,No,Yes,Manual dipper,NA,Groundlevel,NA,NA,8.1,m,Yes,https://api.mwater.co/v3/images/11d26af9d30b4cf1aa9be20dd179cce8,NA,Solinst,23.3,m,No,No connection to computer,NA,Yes,https://api.mwater.co/v3/images/5cd2a719779d48a1801f2d39fdbd482d,No,No connection to computer,NA,NA,NA,NA,NA,Yes,Poor condition,"Tape worn out		, Battery not functioning		, Numbers on tape not visible",NA,https://api.mwater.co/v3/images/a94526f7c642413f8c54ed49abf66ec0; https://api.mwater.co/v3/images/e04eaf22c5044887bbf5d9e8c5533cf8,No,NA,Yes,Measuring the water table,Other,No risk... Employed security,Improve security features around the monitoring well,NA,https://api.mwater.co/v3/images/c050723294ea4fedbef391a36f9a9f8b,There was no lock.. And has been replced,Other,General groundwater level monitoring,Yes,NA,Yes,Unprotected dug well,"Replacement of the level logger, Replace barologger"
